date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:04	3790/3790	---M--	200	added ('OK')	image/jpeg	etag:%225bbba01e-ece%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/10/cropped-cropped-logo-sitepro1-1-180x180.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/10/cropped-cropped-logo-sitepro1-1-180x180.jpg	(from https://www.sitepro.com.ar/web/)
09:37:04	1963/1963	---M--	200	added ('OK')	image/png	etag:%225b7700a5-7ab%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/08/cropped-logo-sitepro1.png?w=143	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/08/cropped-logo-sitepro10ba7.png	(from https://www.sitepro.com.ar/web/)
09:37:04	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-56ba3627f6824%22	https://www.sitepro.com.ar/web/wp-content/plugins/master-slider/public/assets/css/blank.gif	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/plugins/master-slider/public/assets/css/blank.gif	(from https://www.sitepro.com.ar/web/)
09:37:05	1048461/1048461	---M--	200	added ('OK')	image/jpeg	etag:%225af462e5-fff8d%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/05/^81C65CB508566C3C2C8CB27FA1A4922B2AFB5A755CE63BCA3C^pimgpsh_fullsize_distr.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/05/^81C65CB508566C3C2C8CB27FA1A4922B2AFB5A755CE63BCA3C^pimgpsh_fullsize_distr.jpg	(from https://www.sitepro.com.ar/web/)
09:37:06	544800/544800	---M--	200	added ('OK')	image/jpeg	etag:%225af0b4c8-85020%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/05/^C9943C33B8C1272BFD97DFE2224E31627C0642EBD9F70C04B9^pimgpsh_fullsize_distr.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/05/^C9943C33B8C1272BFD97DFE2224E31627C0642EBD9F70C04B9^pimgpsh_fullsize_distr.jpg	(from https://www.sitepro.com.ar/web/)
09:37:11	843673/843673	---M--	200	added ('OK')	image/jpeg	etag:%225af0b4c8-cdf99%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/05/^AA13AB610689320E2E1D3A94FAEDCA01A4180ACCDB5BA30E05^pimgpsh_fullsize_distr.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/05/^AA13AB610689320E2E1D3A94FAEDCA01A4180ACCDB5BA30E05^pimgpsh_fullsize_distr.jpg	(from https://www.sitepro.com.ar/web/)
09:37:11	39107/39107	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:15%20GMT	https://www.sitepro.com.ar/web/quienes-somos/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/quienes-somos/index.html	(from https://www.sitepro.com.ar/web/)
09:37:11	36635/36635	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:15%20GMT	https://www.sitepro.com.ar/web/productos/firma-digital/etoken-safenet-5100/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/firma-digital/etoken-safenet-5100/index.html	(from https://www.sitepro.com.ar/web/)
09:37:11	768725/768725	---M--	200	added ('OK')	image/jpeg	etag:%225af0b4c8-bbad5%22	https://www.sitepro.com.ar/web/wp-content/uploads/2018/03/7.jpg	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/wp-content/uploads/2018/03/7.jpg	(from https://www.sitepro.com.ar/web/)
09:37:11	36335/36335	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:20%20GMT	https://www.sitepro.com.ar/web/productos/firma-digital/idprime-md/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/firma-digital/idprime-md/index.html	(from https://www.sitepro.com.ar/web/)
